# Tamil word<TAB>English meaning
அச்சரப்பாக்கம்	Acharapakkam
அதிராமபட்டினம்	Adiramapattinam
ஆளந்தூர்	Alandur
ஆலங்குடி	Alangudi
ஆலங்குளம்	Alangulam
ஆழ்வார்திருநகரி	Alwarthirunagari
ஆம்பூர்	Ambur
ஆனைமலை	Anaimalai
அந்தியூர்	Anthiyur
அரவக்குறிச்சி	Aravakurichi
அரியலூர்	Ariyalur
அரும்பாவூர்	Arumbavur
அரும்புலியூர்	Arumbuliyur
ஆறுமுகநேரி	Arumuganeri
ஆற்காடு	Arcot
ஆத்தூர்	Attur
அவினாசி	Avinashi
அயோத்தியாப்பட்டினம்	Ayothiapattinam
அழகப்பபுரம்	Azthagappapuram
பாப்பாரப்பட்டி	Papparapatti
பவானிசாகர்	Bhavanisagar
புவனகிரி	Bhuvanagiri
போடிநாயக்கனூர்	Bodinayakanur
செங்கல்பட்டு	Chengalpattu
செங்கம்	Chengam
சென்னை	Chennai
சேட்ஹட்	Chetpet
செய்யாறு	Cheyyar
சின்னசேலம்	Chinnasalem
சின்னமனூர்	Chinnamanur
சோழவந்தான்	Sholavandan
சோளிங்கர்	Sholinghur
கோயம்புத்தூர்	Coimbatore
கடலூர்	Cuddalore
தேவதானப்பட்டி	Devadanapatti
தேவகோட்டை	Devakottai
தர்மபுரி	Dharmapuri
திண்டுக்கல்	Dindigul
எடப்பாடி	Edappadi
ஏரல்	Eral
ஈரோடு	Erode
எருமைப்பட்டி	Erumaipatti
ஏத்தாப்பூர்	Ettapur
எட்டயபுரம்	Ettayapuram
காந்திநகர்	Gandhinagar
கங்கைகொண்டான்	Gangaikondan
கங்கவல்லி	Gangavalli
செஞ்சி	Gingee
கோபிசெட்டிபாளையம்	Gobichettipalayam
கூடலூர்	Gudalur
குடியாத்தம்	Gudiyatham
குகை	Gugai
அரூர்	Harur
ஒசூர்	Hosur
இளம்பிள்ளை	Ilampillai
இளையாங்குடி	Ilayangudi
இஞ்சிம்பாக்கம்	Ininjambakkam
இருகூர்	Irugur
ஜலகண்டாபுரம்	Jalankandapuram
ஜெயங்கொண்டம்	Jayankondam
ஜோலார்பேட்டை	Jolarpet
கடம்பூர்	Kadambur
கடலாடி	Kadaladi
கடையநல்லூர்	Kadayanallur
களக்காடு	Kalakkad
கலசபாக்கம்	Kalasapakkam
கள்ளிமந்தயம்    Kallimandayam
கலிங்கப்பட்டி	Kalingapatti
கல்லக்குறிச்சி	Kallakurichi
கல்பாக்கம்	Kalpakkam
கமுதி	Kamuthi
காஞ்சிபுரம்	Kanchipuram
கண்டனூர்	Kandanur
கங்கவல்லி	Gangavalli
கன்னியாகுமரி	Kanyakumari
காரைக்குடி	Karaikudi
காரமடை	Karamadai
கரம்பக்குடி	Karambakudi
கருமத்தம்பட்டி	Karumathampatti
கரூர்	Karur
காவேரிப்பட்டினம்	Kaveripattinam
காயல்பட்டினம்	Kayalpatnam
கீழக்கரை	Kilakarai
கீழ்வேளூர்	Kilvelur
கிணத்துக்கடவு	Kinathukadavu
கொடைக்கானல்	Kodaikanal
கொடவாசல்	Kodavasal
கொடுமுடி	Kodumudi
கொட்டிவாக்கம்	Kottivakkam
கூத்தாநல்லூர்	Koothanallur
